n, time (in micro)
100000,1523
200000,3772
300000,3657
400000,4744
500000,6879
600000,7125
700000,8516
800000,9535
900000,9865
1000000,11297
1100000,13891
1200000,14610
1300000,16297
1400000,15543
1500000,16909
1600000,17981
1700000,18475
1800000,19887
1900000,20216
2000000,21426
2100000,25913
2200000,25046
2300000,25705
2400000,27766
2500000,27957
2600000,29622
2700000,34023
2800000,33005
2900000,37557
3000000,31700
3100000,34092
3200000,33486
3300000,34447
3400000,35392
3500000,36313
3600000,37153
3700000,37840
3800000,43523
3900000,47419
4000000,42982
4100000,44823
4200000,44016
4300000,46740
4400000,47027
4500000,50212
4600000,48739
4700000,48214
4800000,49156
4900000,49954
5000000,51230
