n, time (in micro)
10000,598
20000,932
30000,522
40000,557
50000,602
60000,803
70000,896
80000,940
90000,1057
100000,1216
110000,1336
120000,2658
130000,1530
140000,2054
150000,1802
160000,1967
170000,2204
180000,2447
190000,2095
200000,2076
210000,2129
220000,2247
230000,2264
240000,2693
250000,2952
260000,3047
270000,3169
280000,3487
290000,3790
300000,3542
310000,3656
320000,4568
330000,5017
340000,4325
350000,42331
360000,8043
370000,5362
380000,5288
390000,5880
400000,5806
410000,4819
420000,5310
430000,5956
440000,5605
450000,8190
460000,6993
470000,5373
480000,5265
490000,5841
500000,5467
